,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ALGO-USD,15.6657748568131,3.0
1,SNX-USD,ADA-USD,6.954077017195631,3.0
2,XTZ-USD,ICP-USD,0.18182740777617046,4.0
3,XTZ-USD,ETC-USD,0.047181452825035844,5.0
4,XTZ-USD,BCH-USD,0.006674670307966347,21.0
5,XTZ-USD,ENJ-USD,2.78363826291793,4.0
6,XTZ-USD,YFI-USD,0.00012656612826752577,5.0
7,XTZ-USD,UMA-USD,0.47903258945197486,4.0
8,XTZ-USD,DOT-USD,0.15987097327448074,4.0
9,XTZ-USD,DOGE-USD,11.678569617984342,3.0
10,XTZ-USD,MATIC-USD,1.1856984689646286,4.0
11,XTZ-USD,1INCH-USD,2.599037283611662,10.0
12,ICP-USD,FIL-USD,1.080861414385013,2.0
13,ICP-USD,NEAR-USD,3.188237896764923,2.0
14,ICP-USD,UMA-USD,2.6343677426582572,3.0
15,ICP-USD,CRV-USD,6.327198317589933,4.0
16,ICP-USD,ETH-USD,0.0022967996576825395,3.0
17,ETC-USD,ENJ-USD,58.99737212938145,2.0
18,ETC-USD,YFI-USD,0.002682520745749844,3.0
19,ETC-USD,XLM-USD,192.001802664459,5.0
20,ETC-USD,UMA-USD,10.152834723902549,3.0
21,ETC-USD,DOGE-USD,247.5052210647507,13.0
22,ETC-USD,AAVE-USD,0.29850140689048565,5.0
23,ETC-USD,MATIC-USD,25.130214302855457,3.0
24,ETC-USD,1INCH-USD,55.08734741072587,6.0
25,ETC-USD,ETH-USD,0.008851837465622014,4.0
26,ZEC-USD,MKR-USD,0.0375470924244109,8.0
27,BCH-USD,CRV-USD,172.08285738029875,12.0
28,BCH-USD,ETH-USD,0.062458788143815426,19.0
29,ENJ-USD,RUNE-USD,0.30851772692381607,3.0
30,ENJ-USD,ZRX-USD,1.4652835252731065,3.0
31,ENJ-USD,YFI-USD,4.546686989652716e-05,2.0
32,ENJ-USD,XLM-USD,3.2542889121578704,3.0
33,ENJ-USD,NEAR-USD,0.20825857404063822,3.0
34,ENJ-USD,SUSHI-USD,0.43502227272151806,2.0
35,ENJ-USD,ADA-USD,0.985939689557683,3.0
36,ENJ-USD,UMA-USD,0.17208526556058415,1.0
37,ENJ-USD,MATIC-USD,0.42594769059430904,2.0
38,ENJ-USD,1INCH-USD,0.9336845040864504,4.0
39,ENJ-USD,AVAX-USD,0.02253879030272892,3.0
40,ENJ-USD,ETH-USD,0.00015003229605885842,3.0
41,RUNE-USD,ZRX-USD,4.749255391181109,3.0
42,RUNE-USD,SUSHI-USD,1.4099634223492148,3.0
43,RUNE-USD,BTC-USD,3.143580395261539e-05,7.0
44,RUNE-USD,CRV-USD,1.339622534852904,3.0
45,RUNE-USD,1INCH-USD,3.026264838694066,4.0
46,RUNE-USD,ETH-USD,0.0004862817596103314,3.0
47,FIL-USD,COMP-USD,0.1296625582137615,3.0
48,FIL-USD,NEAR-USD,2.949559929213823,4.0
49,FIL-USD,SUSHI-USD,6.161166676737899,4.0
50,FIL-USD,UMA-USD,2.43716788436093,4.0
51,FIL-USD,ETH-USD,0.002124920003020468,3.0
52,ZRX-USD,XLM-USD,2.22085544850336,4.0
53,ZRX-USD,AAVE-USD,0.003452782528235795,2.0
54,YFI-USD,SUSHI-USD,9567.769301785993,2.0
55,YFI-USD,UMA-USD,3784.7965489603066,1.0
56,YFI-USD,AAVE-USD,111.27433015039112,5.0
57,YFI-USD,MATIC-USD,9368.16362745981,2.0
58,COMP-USD,EOS-USD,45.159370001320816,8.0
59,COMP-USD,ALGO-USD,242.57943296013605,5.0
60,COMP-USD,CRV-USD,45.13765878961735,10.0
61,COMP-USD,SOL-USD,1.7953306573295873,12.0
62,COMP-USD,AVAX-USD,2.4615421271717413,12.0
63,COMP-USD,ETH-USD,0.016386754068872505,4.0
64,XLM-USD,SUSHI-USD,0.13366257605048174,4.0
65,XLM-USD,UMA-USD,0.05287468699756866,5.0
66,XLM-USD,LTC-USD,0.0010302489032859342,8.0
67,XLM-USD,AAVE-USD,0.0015546153467238604,4.0
68,XLM-USD,1INCH-USD,0.28688440272107446,11.0
69,XLM-USD,ETH-USD,4.610112797324921e-05,3.0
70,EOS-USD,ADA-USD,2.3844531207735264,2.0
71,NEAR-USD,UMA-USD,0.8262579896993056,2.0
72,NEAR-USD,AVAX-USD,0.1082193782679325,4.0
73,ALGO-USD,ADA-USD,0.4438854574996582,3.0
74,ALGO-USD,UMA-USD,0.07747381247234394,4.0
75,ALGO-USD,DOT-USD,0.025854118670671104,10.0
76,ALGO-USD,AAVE-USD,0.00227778729269229,7.0
77,ALGO-USD,AVAX-USD,0.01014725999032362,6.0
78,SUSHI-USD,UMA-USD,0.39555634952114793,2.0
79,SUSHI-USD,BTC-USD,2.2292975615970243e-05,9.0
80,SUSHI-USD,LTC-USD,0.007707004641404779,5.0
81,SUSHI-USD,1INCH-USD,2.146183389831371,5.0
82,SUSHI-USD,AVAX-USD,0.05180890097977332,3.0
83,SUSHI-USD,ETH-USD,0.0003448662478276532,3.0
84,UMA-USD,LTC-USD,0.019483718132681363,4.0
85,UMA-USD,AAVE-USD,0.029399838010591692,3.0
86,BTC-USD,CRV-USD,42612.13994926851,3.0
87,CRV-USD,SOL-USD,0.03977308321094924,3.0
88,CRV-USD,ETH-USD,0.00036296455283427284,7.0
89,DOGE-USD,AAVE-USD,0.0012059372808820518,5.0
90,DOGE-USD,ETH-USD,3.576089583030975e-05,5.0
91,LTC-USD,ETH-USD,0.044741862256989666,9.0
92,AAVE-USD,ETH-USD,0.029653618563528276,2.0
93,1INCH-USD,ETH-USD,0.00016067403708168953,9.0
